device_id,device_type,encryption_algorithm,data_sensitivity,data_retention_years,network_exposure,update_capable,battery_powered,cpu_mhz,ram_kb,key_rotation_days,deployment_age_years,num_connected_devices,data_volume_mb_per_day,risk_label
DEV_01207,environmental_sensor,ECC-256,0,3,1,1,0,160,16384,47,4,10,3.99,MEDIUM
DEV_01208,environmental_sensor,RSA-2048,2,2,0,0,0,240,64,27,3,6,6.18,HIGH
DEV_01209,environmental_sensor,AES-256,0,4,0,1,1,160,64,316,3,7,6.13,LOW
DEV_01210,environmental_sensor,AES-128,1,5,0,0,1,240,64,112,4,15,0.27,MEDIUM
DEV_01211,environmental_sensor,AES-256,1,4,1,0,1,160,512,27,8,36,3.49,LOW
DEV_01212,environmental_sensor,AES-256,2,2,0,0,0,80,256,31,2,44,8.73,LOW
DEV_01213,environmental_sensor,AES-256,0,3,0,0,1,160,512,302,3,1,7.67,LOW
DEV_01214,environmental_sensor,AES-256,1,5,1,1,1,160,512,72,9,45,5.46,MEDIUM
DEV_01215,environmental_sensor,AES-128,2,1,0,0,1,1000,512,44,9,27,9.81,MEDIUM
DEV_01216,environmental_sensor,AES-128,1,5,0,1,1,160,16384,101,1,32,6.16,MEDIUM
DEV_01217,environmental_sensor,AES-256,2,1,0,0,1,160,2048,122,3,39,3.87,LOW
DEV_01218,environmental_sensor,AES-256,2,4,0,0,1,80,64,54,10,8,1.25,LOW
DEV_01219,environmental_sensor,ChaCha20,0,3,0,1,1,80,128,196,0,29,7.61,LOW
DEV_01220,environmental_sensor,RSA-2048,2,2,0,1,1,160,128,122,6,25,1.57,MEDIUM
DEV_01221,environmental_sensor,AES-256,0,1,1,1,1,160,128,360,7,16,6.94,LOW
DEV_01222,environmental_sensor,ECC-256,1,1,0,1,1,80,256,320,7,19,6.13,MEDIUM
DEV_01223,environmental_sensor,AES-256,3,4,1,0,0,240,128,354,1,48,7.68,LOW
DEV_01224,environmental_sensor,ChaCha20,0,1,0,0,1,160,256,193,5,24,4.24,LOW
DEV_01225,environmental_sensor,AES-128,0,5,1,1,0,240,64,114,8,40,7.66,MEDIUM
DEV_01226,environmental_sensor,AES-256,1,4,1,0,1,160,64,17,5,17,1.52,LOW
DEV_01227,environmental_sensor,RSA-2048,0,5,1,0,1,1500,256,194,3,22,6.6,HIGH
DEV_01228,environmental_sensor,AES-128,3,4,1,0,1,160,512,344,10,6,3.46,HIGH
DEV_01229,environmental_sensor,ChaCha20,2,3,0,0,0,3000,64,74,2,21,1.54,MEDIUM
DEV_01230,environmental_sensor,AES-128,1,5,0,0,1,160,512,240,9,47,3.57,MEDIUM
DEV_01231,environmental_sensor,RSA-2048,1,2,0,0,1,1000,256,171,2,2,8.6,HIGH
DEV_01232,environmental_sensor,AES-256,1,1,0,1,1,240,64,82,1,26,5.65,LOW
DEV_01233,environmental_sensor,AES-256,1,2,0,1,1,80,256,266,7,36,6.24,LOW
DEV_01234,environmental_sensor,AES-256,3,3,0,0,1,80,64,337,1,33,2.41,LOW
DEV_01235,environmental_sensor,RSA-2048,1,1,0,1,1,1500,128,337,5,46,9.94,MEDIUM
DEV_01236,environmental_sensor,AES-128,1,1,0,0,0,1500,128,198,1,11,2.42,MEDIUM
DEV_01237,environmental_sensor,RSA-2048,0,4,1,1,1,80,2048,285,1,16,2.62,MEDIUM
DEV_01238,environmental_sensor,ECC-256,1,1,0,1,1,80,256,275,8,37,7.56,MEDIUM
DEV_01239,environmental_sensor,AES-256,1,2,1,1,1,80,128,35,8,45,5.96,LOW
DEV_01240,environmental_sensor,ChaCha20,2,2,0,0,0,160,128,237,7,48,5.96,MEDIUM
DEV_01241,environmental_sensor,ChaCha20,2,4,0,0,0,1500,64,233,10,45,1.87,MEDIUM
DEV_01242,environmental_sensor,AES-256,0,5,1,1,1,240,2048,365,5,15,4.54,LOW
DEV_01243,environmental_sensor,AES-256,2,1,0,0,1,80,64,199,1,41,4.2,LOW
DEV_01244,environmental_sensor,ECC-256,1,3,1,1,1,240,256,296,4,27,4.55,MEDIUM
DEV_01245,environmental_sensor,AES-256,2,3,0,1,0,80,128,291,7,16,1.42,LOW
DEV_01246,environmental_sensor,ECC-256,1,5,1,0,0,80,64,91,1,14,2.21,MEDIUM
DEV_01247,environmental_sensor,ECC-256,0,4,1,1,1,240,256,353,2,38,4.78,MEDIUM
DEV_01248,environmental_sensor,RSA-2048,1,5,0,1,1,80,128,322,0,44,2.23,MEDIUM
DEV_01249,environmental_sensor,AES-128,0,4,0,0,0,160,128,85,5,49,2.26,MEDIUM
DEV_01250,environmental_sensor,ECC-256,0,1,0,1,1,240,256,312,2,17,6.86,MEDIUM
DEV_01251,environmental_sensor,AES-128,0,3,0,1,0,160,128,38,2,25,2.11,MEDIUM
DEV_01252,environmental_sensor,AES-256,1,3,1,0,1,240,64,240,10,38,1.72,LOW
DEV_01253,environmental_sensor,AES-128,1,2,0,1,0,80,256,312,4,11,6.68,MEDIUM
DEV_01254,environmental_sensor,AES-256,1,1,0,1,0,1000,64,30,0,21,3.97,LOW
DEV_01255,environmental_sensor,AES-256,1,5,0,0,1,80,128,222,6,35,2.63,LOW
DEV_01256,environmental_sensor,AES-256,1,5,0,1,1,160,128,362,8,20,4.69,LOW
DEV_01257,environmental_sensor,ChaCha20,3,5,1,0,1,160,8192,102,6,18,4.74,MEDIUM
DEV_01258,environmental_sensor,AES-128,0,1,0,0,1,80,256,185,6,21,7.73,MEDIUM
DEV_01259,environmental_sensor,ChaCha20,2,2,0,0,0,2000,128,237,8,29,3.99,MEDIUM
DEV_01260,environmental_sensor,ECC-256,3,1,1,1,0,240,2048,115,10,8,8.5,MEDIUM
DEV_01261,environmental_sensor,ChaCha20,0,5,0,1,0,240,256,101,1,20,9.84,LOW
DEV_01262,environmental_sensor,ECC-256,2,3,0,0,1,160,128,103,8,42,7.4,MEDIUM
DEV_01263,environmental_sensor,AES-256,2,4,0,1,1,80,512,192,10,37,4.95,MEDIUM
DEV_01264,environmental_sensor,ChaCha20,1,3,1,1,0,80,128,71,3,3,4.33,LOW
DEV_01265,environmental_sensor,AES-128,2,2,0,1,1,80,512,347,1,25,2.3,MEDIUM
DEV_01266,environmental_sensor,RSA-2048,1,4,0,1,1,80,256,153,6,11,8.93,MEDIUM
DEV_01267,environmental_sensor,AES-256,3,2,0,1,1,80,256,86,1,42,5.77,LOW
DEV_01268,environmental_sensor,RSA-2048,1,5,1,1,1,240,128,54,0,7,6.44,MEDIUM
DEV_01269,environmental_sensor,AES-256,1,2,1,1,0,240,512,282,10,45,5.45,MEDIUM
DEV_01270,environmental_sensor,AES-256,2,2,0,1,0,80,64,126,7,46,2.61,LOW
DEV_01271,environmental_sensor,ChaCha20,0,5,0,1,1,160,512,146,7,16,2.41,LOW
DEV_01272,environmental_sensor,AES-256,0,4,0,1,1,1200,256,160,0,20,6.53,LOW
DEV_01273,environmental_sensor,RSA-2048,0,2,0,0,0,160,4096,126,2,21,7.18,HIGH
DEV_01274,environmental_sensor,RSA-2048,0,1,0,0,1,1200,128,149,2,39,3.46,HIGH
DEV_01275,environmental_sensor,RSA-2048,0,3,1,0,0,80,128,140,6,27,4.11,HIGH
DEV_01276,environmental_sensor,ECC-256,1,5,0,1,1,80,128,221,4,15,1.43,MEDIUM
DEV_01277,environmental_sensor,ChaCha20,0,2,1,1,1,160,64,172,7,14,7.69,LOW
DEV_01278,environmental_sensor,AES-128,2,4,0,1,1,240,512,285,6,34,2.77,MEDIUM
DEV_01279,environmental_sensor,ChaCha20,0,1,1,1,1,1200,64,204,5,24,6.4,LOW
DEV_01280,environmental_sensor,RSA-2048,2,3,1,0,1,1500,2048,347,1,27,3.0,HIGH
DEV_01281,environmental_sensor,ECC-256,2,3,1,1,1,2000,512,108,0,39,5.35,MEDIUM
DEV_01282,environmental_sensor,AES-128,0,4,0,0,0,1200,64,272,0,18,1.43,MEDIUM
DEV_01283,environmental_sensor,AES-256,1,1,1,1,1,1500,128,183,0,38,9.97,LOW
DEV_01284,environmental_sensor,ChaCha20,1,3,1,1,1,160,512,16,10,26,6.22,MEDIUM
DEV_01285,environmental_sensor,ECC-256,3,5,1,0,1,80,64,287,1,43,5.72,MEDIUM
DEV_01286,environmental_sensor,AES-256,2,5,0,0,0,80,256,56,2,22,1.8,LOW
DEV_01287,environmental_sensor,RSA-2048,0,4,0,1,1,1000,64,238,0,28,3.2,MEDIUM
DEV_01288,environmental_sensor,Kyber-512,2,2,1,0,0,160,128,326,3,50,4.58,LOW
DEV_01289,environmental_sensor,ECC-256,2,1,1,0,1,80,256,289,3,8,3.57,MEDIUM
DEV_01290,environmental_sensor,AES-128,2,3,0,1,0,1000,512,115,8,14,0.32,MEDIUM
DEV_01291,environmental_sensor,AES-256,0,5,0,1,0,160,512,104,3,45,6.38,LOW
DEV_01292,environmental_sensor,ChaCha20,3,3,1,0,1,240,64,29,1,49,6.01,MEDIUM
DEV_01293,environmental_sensor,ChaCha20,1,2,0,0,1,160,128,279,5,22,3.55,LOW
DEV_01294,environmental_sensor,ChaCha20,1,2,0,1,1,80,256,96,6,11,8.45,LOW
DEV_01295,environmental_sensor,AES-256,0,3,0,0,1,80,128,354,2,42,8.47,LOW
DEV_01296,environmental_sensor,AES-128,1,2,0,1,0,240,128,21,8,18,3.76,MEDIUM
DEV_01297,environmental_sensor,AES-128,1,1,0,1,1,240,256,55,9,9,8.07,MEDIUM
DEV_01298,environmental_sensor,AES-128,0,2,0,1,1,1500,64,230,8,10,2.26,MEDIUM
DEV_01299,environmental_sensor,AES-256,1,3,1,0,1,1200,128,307,4,21,5.49,LOW
DEV_01300,environmental_sensor,AES-256,2,5,0,1,1,240,128,277,8,16,4.06,LOW
DEV_01301,environmental_sensor,AES-256,1,5,1,1,1,240,128,142,10,32,2.12,MEDIUM
DEV_01302,environmental_sensor,RSA-2048,1,5,1,1,1,160,256,90,6,11,3.56,MEDIUM
DEV_01303,environmental_sensor,AES-128,1,4,1,1,1,1500,256,36,1,42,9.9,MEDIUM
DEV_01304,environmental_sensor,RSA-2048,1,2,0,0,0,240,256,357,1,34,0.82,HIGH
DEV_01305,environmental_sensor,AES-128,2,1,0,1,1,80,256,147,1,43,5.56,MEDIUM
DEV_01306,environmental_sensor,AES-256,3,2,0,1,1,1000,512,22,6,7,6.29,LOW
DEV_01307,environmental_sensor,ChaCha20,0,4,1,1,0,160,512,264,6,47,9.94,LOW
DEV_01308,environmental_sensor,AES-256,1,5,0,1,0,160,64,315,3,39,8.3,LOW
DEV_01309,environmental_sensor,AES-256,2,5,0,1,1,80,64,286,5,27,3.88,LOW
DEV_01310,environmental_sensor,AES-128,0,5,0,1,0,1200,128,293,4,17,1.36,MEDIUM
DEV_01311,environmental_sensor,AES-256,0,5,1,1,0,160,4096,197,0,19,6.32,LOW
DEV_01312,environmental_sensor,AES-128,1,1,0,0,1,240,256,206,4,7,1.33,MEDIUM
DEV_01313,environmental_sensor,ChaCha20,2,1,0,1,0,80,128,109,3,7,8.28,MEDIUM
DEV_01314,environmental_sensor,ECC-256,0,5,0,1,1,2000,64,187,2,36,2.56,MEDIUM
DEV_01315,environmental_sensor,ECC-256,2,3,0,0,0,160,128,324,4,24,0.44,MEDIUM
DEV_01316,environmental_sensor,AES-128,0,2,1,1,1,80,128,171,9,5,2.36,MEDIUM
DEV_01317,environmental_sensor,RSA-2048,0,2,0,1,1,160,128,86,9,13,9.59,MEDIUM
DEV_01318,environmental_sensor,AES-256,3,1,1,1,1,80,64,28,1,31,7.56,LOW
DEV_01319,environmental_sensor,AES-256,3,4,0,1,1,1200,512,4,2,23,4.15,LOW
DEV_01320,environmental_sensor,ECC-256,0,3,1,1,1,160,2048,196,5,1,9.05,MEDIUM
DEV_01321,environmental_sensor,ECC-256,1,4,0,0,1,1500,256,224,5,19,5.22,MEDIUM
DEV_01322,environmental_sensor,ChaCha20,2,2,1,1,1,240,256,66,7,3,7.37,MEDIUM
DEV_01323,environmental_sensor,AES-256,1,4,0,0,1,80,256,87,7,14,1.23,LOW
DEV_01324,environmental_sensor,AES-128,1,5,1,1,0,2000,128,322,10,26,1.48,MEDIUM
DEV_01325,environmental_sensor,ECC-256,0,3,1,0,1,160,256,18,4,9,8.98,MEDIUM
DEV_01326,environmental_sensor,AES-256,0,5,0,1,1,240,128,156,2,8,7.84,LOW
DEV_01327,environmental_sensor,AES-256,1,4,1,0,0,160,8192,114,9,2,5.69,LOW
DEV_01328,environmental_sensor,AES-256,0,3,1,0,1,1500,4096,208,10,48,10.0,LOW
DEV_01329,environmental_sensor,ECC-256,1,2,1,1,1,160,128,188,7,42,6.61,MEDIUM
DEV_01330,environmental_sensor,ChaCha20,2,5,0,0,1,1500,64,56,10,31,3.24,MEDIUM
DEV_01331,environmental_sensor,ChaCha20,2,3,0,1,1,160,128,278,0,22,0.51,MEDIUM
DEV_01332,environmental_sensor,AES-128,0,1,0,0,1,1500,128,25,8,50,5.15,MEDIUM
DEV_01333,environmental_sensor,AES-256,1,3,0,1,1,80,2048,256,5,2,0.51,LOW
DEV_01334,environmental_sensor,AES-128,0,1,1,1,0,1000,512,225,0,12,7.26,MEDIUM
DEV_01335,environmental_sensor,ECC-256,2,4,0,0,1,80,64,153,8,22,1.01,MEDIUM
DEV_01336,environmental_sensor,AES-128,0,1,0,1,1,160,128,246,3,1,6.38,MEDIUM
DEV_01337,environmental_sensor,AES-128,1,4,0,0,0,80,512,290,0,10,8.66,MEDIUM
DEV_01338,environmental_sensor,AES-256,1,4,1,0,1,80,512,181,2,49,9.95,LOW
DEV_01339,environmental_sensor,ECC-256,2,3,1,1,0,80,128,223,8,6,2.2,MEDIUM
DEV_01340,environmental_sensor,AES-128,1,1,0,1,1,80,256,43,3,24,2.06,MEDIUM
DEV_01341,environmental_sensor,ECC-256,0,1,1,1,1,1200,128,89,8,46,5.41,MEDIUM
DEV_01342,environmental_sensor,AES-256,2,1,0,1,1,2000,256,65,10,11,9.7,MEDIUM
DEV_01343,environmental_sensor,RSA-2048,1,5,0,0,1,160,128,120,3,16,1.27,HIGH
DEV_01344,environmental_sensor,ECC-256,0,2,0,1,1,1500,64,323,4,10,0.71,MEDIUM
DEV_01345,environmental_sensor,AES-256,1,1,0,1,1,80,512,214,4,49,4.87,LOW
DEV_01346,environmental_sensor,AES-128,1,3,1,0,1,80,512,54,6,27,2.53,MEDIUM
DEV_01347,environmental_sensor,ChaCha20,2,4,1,1,1,160,256,276,0,26,9.5,MEDIUM
DEV_01348,environmental_sensor,AES-256,0,5,1,1,0,160,64,191,2,6,9.92,LOW
DEV_01349,environmental_sensor,AES-128,2,3,0,0,1,80,128,35,9,23,7.1,MEDIUM
DEV_01350,environmental_sensor,ECC-256,1,4,1,1,1,80,512,100,6,22,8.2,MEDIUM
DEV_01351,environmental_sensor,AES-256,1,2,0,1,0,160,64,152,8,3,5.78,LOW
DEV_01352,environmental_sensor,Kyber-512,2,1,0,1,1,240,64,222,5,7,6.01,LOW
DEV_01353,environmental_sensor,ECC-256,0,2,0,1,1,240,2048,96,2,12,9.02,MEDIUM
DEV_01354,environmental_sensor,AES-128,3,3,1,1,0,3000,128,119,1,6,2.86,HIGH
DEV_01355,environmental_sensor,AES-128,2,1,0,0,1,160,16384,312,0,31,7.18,MEDIUM
DEV_01356,environmental_sensor,AES-128,0,2,0,0,0,160,64,142,8,14,8.72,MEDIUM
DEV_01357,environmental_sensor,AES-128,0,2,1,1,0,160,8192,314,10,50,2.88,MEDIUM
DEV_01358,environmental_sensor,AES-256,0,5,0,1,0,160,512,241,7,47,5.23,LOW
DEV_01359,environmental_sensor,AES-128,2,3,1,0,1,160,512,126,7,22,6.26,MEDIUM
DEV_01360,environmental_sensor,ChaCha20,0,5,1,1,1,80,4096,145,4,47,3.06,LOW
DEV_01361,environmental_sensor,RSA-2048,1,2,0,0,1,80,16384,4,6,23,7.11,HIGH
DEV_01362,environmental_sensor,ChaCha20,1,5,0,1,1,240,128,326,8,5,4.62,LOW
DEV_01363,environmental_sensor,AES-128,2,2,1,0,1,80,128,313,10,16,1.5,MEDIUM
DEV_01364,environmental_sensor,AES-128,2,1,1,1,0,240,512,36,4,44,4.64,MEDIUM
DEV_01365,environmental_sensor,ECC-256,0,1,0,1,1,2000,256,222,1,49,1.3,MEDIUM
DEV_01366,environmental_sensor,ChaCha20,1,5,0,0,1,240,2048,229,10,19,7.14,LOW
DEV_01367,environmental_sensor,RSA-2048,3,3,1,1,0,160,128,197,2,13,0.74,MEDIUM
DEV_01368,environmental_sensor,AES-128,0,1,0,1,1,160,128,144,0,17,3.22,MEDIUM
DEV_01369,environmental_sensor,AES-128,2,1,1,1,1,80,128,89,1,27,0.71,MEDIUM
DEV_01370,environmental_sensor,RSA-2048,1,3,0,1,0,80,256,345,1,48,1.67,MEDIUM
DEV_01371,environmental_sensor,AES-128,1,2,0,0,1,240,128,224,10,11,0.98,MEDIUM
DEV_01372,environmental_sensor,AES-256,0,1,0,0,0,160,256,7,7,39,9.06,LOW
DEV_01373,environmental_sensor,ChaCha20,1,2,0,0,0,160,128,346,4,19,6.38,LOW
DEV_01374,environmental_sensor,AES-256,1,3,0,1,0,1200,128,62,6,39,5.81,LOW
DEV_01375,environmental_sensor,ChaCha20,1,3,1,1,0,1500,128,71,9,39,4.26,MEDIUM
DEV_01376,environmental_sensor,RSA-2048,1,5,1,0,1,240,128,123,3,44,3.58,HIGH
DEV_01377,environmental_sensor,RSA-2048,1,2,0,0,1,160,512,59,6,16,5.98,HIGH
DEV_01378,environmental_sensor,AES-256,4,3,1,0,0,240,128,55,7,13,6.32,LOW
DEV_01379,environmental_sensor,AES-256,2,4,0,1,1,80,128,64,2,32,6.1,LOW
DEV_01380,environmental_sensor,AES-256,2,2,0,1,1,80,128,223,1,4,9.63,LOW
DEV_01381,environmental_sensor,AES-128,2,5,0,1,0,160,512,96,7,44,8.08,MEDIUM
DEV_01382,environmental_sensor,RSA-2048,3,4,0,1,1,160,256,151,3,19,0.19,MEDIUM
DEV_01383,environmental_sensor,ECC-256,0,5,1,0,0,1000,128,185,4,6,5.13,MEDIUM
DEV_01384,environmental_sensor,AES-128,1,1,0,0,1,1000,128,321,7,18,2.52,MEDIUM
DEV_01385,environmental_sensor,AES-256,1,4,0,1,1,1500,128,186,2,15,8.63,LOW
DEV_01386,environmental_sensor,AES-256,2,1,0,1,1,240,512,50,4,35,9.11,LOW
DEV_01387,environmental_sensor,AES-256,1,3,0,1,1,80,128,285,9,9,3.31,MEDIUM
DEV_01388,environmental_sensor,ChaCha20,0,3,0,1,1,3000,2048,254,5,18,1.62,LOW
DEV_01389,environmental_sensor,RSA-2048,2,3,0,1,0,160,128,143,9,41,5.63,MEDIUM
DEV_01390,environmental_sensor,AES-256,2,3,0,1,0,160,128,167,7,50,3.71,LOW
DEV_01391,environmental_sensor,ChaCha20,0,1,1,0,1,80,256,121,9,28,9.54,LOW
DEV_01392,environmental_sensor,ECC-256,1,3,0,0,1,160,128,258,4,10,5.92,MEDIUM
DEV_01393,environmental_sensor,ECC-256,1,1,0,0,1,1200,128,253,6,30,8.94,MEDIUM
DEV_01394,environmental_sensor,ECC-256,1,3,1,1,0,1000,64,346,7,45,4.51,MEDIUM
DEV_01395,environmental_sensor,RSA-2048,2,5,0,0,1,80,128,275,9,19,1.65,HIGH
DEV_01396,environmental_sensor,RSA-2048,0,4,0,0,0,160,256,83,9,4,8.03,HIGH
DEV_01397,environmental_sensor,ECC-256,0,2,0,1,0,80,4096,355,0,40,9.1,MEDIUM
DEV_01398,environmental_sensor,ChaCha20,0,1,0,0,1,80,16384,306,8,41,2.29,LOW
DEV_01399,environmental_sensor,ECC-256,0,1,0,1,1,80,256,91,6,3,4.72,MEDIUM
DEV_01400,environmental_sensor,ChaCha20,2,2,1,1,0,1200,8192,351,7,47,6.37,MEDIUM
DEV_01401,environmental_sensor,RSA-2048,1,3,0,0,1,160,128,134,8,25,8.22,HIGH
DEV_01402,environmental_sensor,ECC-256,0,2,0,1,1,160,512,267,7,26,7.56,MEDIUM
DEV_01403,environmental_sensor,AES-256,2,2,0,1,1,1500,128,309,2,9,3.18,LOW
DEV_01404,environmental_sensor,ChaCha20,2,4,0,0,1,3000,4096,158,7,40,0.57,MEDIUM
DEV_01405,environmental_sensor,AES-256,2,3,0,1,1,160,128,45,10,13,1.15,MEDIUM
DEV_01406,environmental_sensor,AES-128,0,2,0,1,1,2000,512,236,8,12,7.46,MEDIUM
DEV_01407,environmental_sensor,ECC-256,2,4,0,1,1,80,128,157,5,36,5.84,MEDIUM
DEV_01408,environmental_sensor,AES-256,0,4,0,0,1,80,64,182,3,18,1.97,LOW
DEV_01409,environmental_sensor,AES-256,1,2,0,1,1,1000,128,338,10,39,5.34,MEDIUM
DEV_01410,environmental_sensor,ECC-384,0,3,1,0,1,1000,128,141,9,9,7.0,LOW
DEV_01411,environmental_sensor,RSA-2048,1,3,1,1,1,1200,64,250,5,43,2.8,MEDIUM
DEV_01412,environmental_sensor,AES-256,0,2,0,0,0,160,256,330,4,17,2.97,LOW
DEV_01413,environmental_sensor,RSA-2048,3,2,0,0,1,240,8192,92,9,3,7.95,HIGH
DEV_01414,environmental_sensor,AES-256,0,5,0,1,0,160,2048,237,7,40,8.05,LOW
DEV_01415,environmental_sensor,AES-256,1,2,1,1,0,240,2048,270,10,22,9.48,MEDIUM
DEV_01416,environmental_sensor,AES-256,1,4,0,1,1,240,512,199,9,13,7.8,MEDIUM
DEV_01417,environmental_sensor,ECC-256,0,5,0,1,1,160,512,169,6,45,0.9,MEDIUM
DEV_01418,environmental_sensor,Kyber-512,2,3,1,0,1,160,128,270,6,41,8.37,LOW
DEV_01419,environmental_sensor,AES-128,2,2,0,0,0,80,128,342,7,8,6.02,MEDIUM
DEV_01420,environmental_sensor,AES-256,3,5,0,0,1,1000,4096,18,9,6,2.31,LOW
DEV_01421,environmental_sensor,ECC-256,1,5,1,1,1,1200,256,269,0,44,0.23,MEDIUM
DEV_01422,environmental_sensor,AES-256,1,2,0,1,0,80,128,283,9,43,3.66,MEDIUM
DEV_01423,environmental_sensor,RSA-2048,0,2,1,1,1,1500,256,232,8,19,0.2,MEDIUM
DEV_01424,environmental_sensor,AES-128,0,3,1,1,1,240,128,2,9,15,4.55,MEDIUM
DEV_01425,environmental_sensor,ECC-256,0,5,1,0,0,80,256,152,7,35,8.43,MEDIUM
DEV_01426,environmental_sensor,AES-256,1,3,1,0,1,1000,512,231,2,17,5.43,LOW
DEV_01427,environmental_sensor,Kyber-512,2,3,1,1,0,240,64,233,9,50,4.34,MEDIUM
DEV_01428,environmental_sensor,AES-256,0,4,0,1,1,240,64,124,8,23,3.79,LOW
DEV_01429,environmental_sensor,RSA-2048,1,2,0,1,0,80,128,35,6,40,5.65,MEDIUM
DEV_01430,environmental_sensor,RSA-2048,2,2,1,0,1,80,8192,155,6,41,3.78,HIGH
DEV_01431,environmental_sensor,AES-128,0,2,0,0,1,240,512,227,8,50,5.35,MEDIUM
DEV_01432,environmental_sensor,ChaCha20,2,4,0,1,1,160,64,353,9,39,2.03,MEDIUM
DEV_01433,environmental_sensor,AES-128,1,5,1,1,1,160,512,125,0,50,4.33,MEDIUM
DEV_01434,environmental_sensor,ChaCha20,1,3,0,1,1,80,2048,357,4,45,8.64,LOW
DEV_01435,environmental_sensor,AES-128,2,3,1,0,0,80,4096,47,6,6,4.6,MEDIUM
DEV_01436,environmental_sensor,AES-128,0,2,0,1,0,1200,2048,341,10,49,9.07,MEDIUM
DEV_01437,environmental_sensor,ChaCha20,1,5,1,1,1,80,256,331,10,7,4.96,MEDIUM
DEV_01438,environmental_sensor,ECC-384,1,4,0,1,1,160,128,122,7,49,0.61,LOW
DEV_01439,environmental_sensor,ChaCha20,1,4,0,0,1,240,64,71,4,39,7.17,LOW
DEV_01440,environmental_sensor,AES-128,0,5,0,0,0,160,256,139,9,34,7.0,MEDIUM
DEV_01441,environmental_sensor,AES-256,0,1,0,1,1,1200,512,151,1,33,2.17,LOW
DEV_01442,environmental_sensor,RSA-2048,1,4,0,1,1,80,64,146,4,41,7.03,MEDIUM
DEV_01443,environmental_sensor,AES-256,2,3,0,1,0,80,256,136,8,46,7.11,LOW
DEV_01444,environmental_sensor,Kyber-512,1,1,0,0,1,240,256,227,1,12,7.33,LOW
DEV_01445,environmental_sensor,ECC-256,3,3,0,0,1,80,128,209,0,46,3.73,MEDIUM
DEV_01446,environmental_sensor,ChaCha20,1,5,1,0,1,80,128,110,7,32,9.37,LOW
DEV_01447,environmental_sensor,AES-256,0,3,1,1,0,160,512,18,1,43,4.75,LOW
DEV_01448,environmental_sensor,ECC-256,2,2,1,1,1,80,512,114,9,42,1.02,MEDIUM
DEV_01449,environmental_sensor,ECC-256,2,3,0,1,1,3000,128,173,9,26,9.11,MEDIUM
DEV_01450,environmental_sensor,AES-128,3,1,0,0,1,1000,64,230,5,32,9.25,HIGH
DEV_01451,environmental_sensor,RSA-2048,3,1,0,1,1,240,64,33,7,32,6.23,MEDIUM
DEV_01452,environmental_sensor,AES-256,1,3,0,0,1,1500,2048,80,2,15,1.62,LOW
DEV_01453,environmental_sensor,AES-128,0,4,1,0,1,160,8192,348,6,30,7.81,MEDIUM
DEV_01454,environmental_sensor,ECC-256,3,5,0,1,1,160,64,32,6,15,0.32,MEDIUM
DEV_01455,environmental_sensor,AES-256,0,1,0,0,1,80,512,54,4,22,3.1,LOW
DEV_01456,environmental_sensor,AES-256,3,4,0,0,1,240,64,99,10,4,9.85,LOW
DEV_01457,environmental_sensor,RSA-2048,1,5,1,1,1,240,64,38,2,32,2.84,MEDIUM
DEV_01458,environmental_sensor,ECC-256,1,2,0,0,1,240,128,236,5,16,4.56,MEDIUM
DEV_01459,environmental_sensor,RSA-2048,4,4,0,1,1,80,128,191,8,31,7.45,MEDIUM
DEV_01460,environmental_sensor,ECC-256,2,2,0,0,0,80,256,269,6,22,9.76,MEDIUM
DEV_01461,environmental_sensor,AES-128,1,4,1,0,1,160,512,149,3,28,1.53,MEDIUM
DEV_01462,environmental_sensor,ChaCha20,1,1,0,0,1,1000,256,261,10,8,4.73,LOW
DEV_01463,environmental_sensor,AES-128,0,5,0,1,1,240,256,116,9,8,8.82,MEDIUM
DEV_01464,environmental_sensor,ChaCha20,2,3,0,1,0,80,512,327,7,18,6.55,MEDIUM
DEV_01465,environmental_sensor,ChaCha20,0,5,0,1,1,3000,128,128,4,14,2.59,LOW
DEV_01466,environmental_sensor,ChaCha20,1,4,0,1,1,80,512,42,8,47,2.25,LOW
DEV_01467,environmental_sensor,AES-256,0,2,0,0,1,240,512,47,5,50,6.4,LOW
DEV_01468,environmental_sensor,RSA-2048,2,3,0,1,0,80,256,280,10,6,8.74,MEDIUM
DEV_01469,environmental_sensor,RSA-2048,0,4,1,0,0,80,512,169,7,46,5.48,HIGH
DEV_01470,environmental_sensor,RSA-2048,2,3,1,1,1,160,128,194,6,21,6.93,MEDIUM
DEV_01471,environmental_sensor,AES-128,1,2,1,0,1,160,512,13,10,46,3.4,MEDIUM
DEV_01472,environmental_sensor,RSA-2048,0,2,0,1,0,160,64,347,7,40,4.97,MEDIUM
DEV_01473,environmental_sensor,ECC-256,0,5,0,0,1,240,256,128,1,39,7.89,MEDIUM
DEV_01474,environmental_sensor,ChaCha20,1,5,0,0,0,160,256,350,8,22,8.96,LOW
DEV_01475,environmental_sensor,AES-128,0,4,0,0,0,80,2048,13,4,29,4.29,MEDIUM
DEV_01476,environmental_sensor,AES-256,1,1,1,1,0,80,256,70,6,37,3.26,LOW
DEV_01477,environmental_sensor,AES-256,2,3,1,0,1,1000,128,336,5,15,0.16,LOW
DEV_01478,environmental_sensor,ChaCha20,1,4,0,1,1,1200,2048,182,6,3,5.62,LOW
